TriadMaj, 1, 3, 5
TriadMin, 1, b3, 5
TriadAug, 1, 3, #5
TriadDism, 1, b3, b5
7, 1, 3, 5, b7
-7, 1, b3, 5, b7
Maj7, 1, 3, 5, 7
-7b5, 1, b3, b5, b7
º7, 1, b3, b5, 7
Major, 1, 2, 3, 4, 5, 6, 7
Minor, 1, 2, b3, 4, 5, b6, b7
Pentatonic, 1, b3, 4, 5, b7
PentatonicMaj, 1, 2, 3, 5, 6
Diminished, 1, b2, b3, b4, b5, b6, b7
Whole-half, 1, 2, b3, b4, b5, b6, b7
Ionian, 1, 2, 3, 4, 5, 6, 7
Dorian, 1, 2, b3, 4, 5, 6, b7
Phrygian, 1, b2, b3, 4, 5, b6, b7
Lydian, 1, 2, 3, #4, 5, 6, 7
Mixolydian, 1, 2, 3, 4, 5, 6, b7
Aeolian, 1, 2, b3, 4, 5, b6, b7
Locrian, 1, b2, b3, 4, b5, b6, b7
